Date,ODA/BWA_LE_Value,ODA/BWA_LP_Value,ODA/BWA_PPPGDP_Value,ODA/BWA_BCA_NGDPD_Value,ODA/BWA_TX_RPCH_Value,ODA/BWA_TXG_RPCH_Value,ODA/BWA_TM_RPCH_Value,ODA/BWA_TMG_RPCH_Value,ODA/BWA_GGXWDG_NGDP_Value,ODA/BWA_GGXCNL_NGDP_Value,ODA/BWA_GGXONLB_NGDP_Value,ODA/BWA_GGR_NGDP_Value,ODA/BWA_GGX_NGDP_Value,ODA/BWA_NGSD_NGDP_Value,ODA/BWA_PPPEX_Value,ODA/BWA_PCPIPCH_Value,ODA/BWA_PCPIEPCH_Value,ODA/BWA_PCPI_Value,ODA/BWA_PCPIE_Value,ODA/BWA_PPPSH_Value,ODA/BWA_NID_NGDP_Value
1990-12-31,,1.371,6.6739999999999995,-0.46,17.419,11.402000000000001,-6.939,-13.07,,,,,38.976,39.239000000000004,1.165,11.4,12.0,36.486999999999995,37.619,0.025,33.5
1991-12-31,,1.415,7.3260000000000005,7.115,-5.247999999999999,-4.862,-7.277,-7.6610000000000005,,,,,41.159,40.128,1.175,12.6,12.6,41.083999999999996,42.358999999999995,0.026000000000000002,28.802
1992-12-31,,1.4509999999999998,7.477,4.4510000000000005,-1.0490000000000002,-0.721,-10.282,-9.761000000000001,,,,,42.373000000000005,39.632,1.253,16.5,16.5,47.863,49.349,0.023,29.349
1993-12-31,,1.4880000000000002,7.962999999999999,9.3,-7.682,-7.852,-10.981,-10.427999999999999,,,,,42.03,33.814,1.425,14.4,12.7,54.755,55.61600000000001,0.024,25.74
1994-12-31,,1.54,8.068999999999999,5.071000000000001,14.737,15.966,-10.115,-11.008,,,,,37.678000000000004,28.88,1.454,10.6,9.8,60.56,61.066,0.023,25.325
1995-12-31,,1.5730000000000002,8.897,5.954,11.782,9.56,-2.8,-5.898,,,,,36.407,31.756999999999998,1.518,10.5,10.8,66.918,67.661,0.024,26.346
1996-12-31,,1.6019999999999999,9.461,9.855,0.17300000000000001,4.626,-6.282,-3.065,,,,,35.728,37.31,1.7630000000000001,10.1,9.6,73.67699999999999,74.157,0.024,22.655
1997-12-31,,1.642,10.559000000000001,13.584000000000001,23.85,23.715,31.763,32.336,,,,,36.768,36.235,1.8359999999999999,8.9,7.8,80.234,79.941,0.025,22.735
1998-12-31,,1.6840000000000002,11.78,3.668,-16.34,-21.548000000000002,15.217,11.545,10.208,,,,37.347,36.433,1.99,6.51,6.365,85.45700000000001,85.029,0.027000000000000003,32.764
1999-12-31,,1.7380000000000002,13.138,10.255999999999998,29.913,30.715999999999998,-5.305,-6.099,8.868,,,,37.789,33.57,2.122,7.816,8.413,92.137,92.18299999999999,0.028999999999999998,23.313000000000002
