Date,ODA/GHA_LE_Value,ODA/GHA_LP_Value,ODA/GHA_PPPGDP_Value,ODA/GHA_BCA_NGDPD_Value,ODA/GHA_TX_RPCH_Value,ODA/GHA_TXG_RPCH_Value,ODA/GHA_TM_RPCH_Value,ODA/GHA_TMG_RPCH_Value,ODA/GHA_GGXWDG_NGDP_Value,ODA/GHA_GGXWDN_NGDP_Value,ODA/GHA_GGXCNL_NGDP_Value,ODA/GHA_GGXONLB_NGDP_Value,ODA/GHA_GGR_NGDP_Value,ODA/GHA_GGX_NGDP_Value,ODA/GHA_NGSD_NGDP_Value,ODA/GHA_PPPEX_Value,ODA/GHA_PCPIPCH_Value,ODA/GHA_PCPIEPCH_Value,ODA/GHA_PCPI_Value,ODA/GHA_PCPIE_Value,ODA/GHA_PPPSH_Value,ODA/GHA_NID_NGDP_Value
1990-12-31,,14.306,17.519000000000002,-3.304,10.431,10.431,7.672999999999999,6.849,31.979,0.0,-3.464,-2.516,8.383,11.845999999999998,17.076,0.016,37.241,35.902,2.035,2.197,0.066,19.754
1991-12-31,,14.672,19.014,-3.39,20.589000000000002,20.589000000000002,3.094,2.198,27.7,0.0,-2.3569999999999998,-1.3090000000000002,8.984,11.341,12.48,0.021,18.097,10.261,2.403,2.4219999999999997,0.068,15.405
1992-12-31,,15.046,20.242,-4.657,7.252000000000001,7.252000000000001,3.9610000000000003,2.435,33.468,0.0,-7.063,-5.822,7.381,14.444,10.036,0.024,10.049,13.33,2.6439999999999997,2.745,0.064,14.287
1993-12-31,,15.431,21.69,-7.9639999999999995,18.414,18.414,12.683,13.299000000000001,55.813,0.0,-8.812000000000001,-6.474,10.972999999999999,19.785,6.965,0.027000000000000003,24.941999999999997,27.656,3.304,3.5039999999999996,0.065,14.929
1994-12-31,,15.825,22.921,-5.222,6.732,6.732,6.651,7.843999999999999,86.46700000000001,0.0,-8.536,-5.4670000000000005,13.177,21.714000000000002,11.378,0.033,24.874000000000002,34.179,4.126,4.702,0.065,15.639000000000001
1995-12-31,,16.23,24.346,-3.803,7.169,7.169,5.614,5.505,95.147,0.0,-8.443,-5.18,15.777000000000001,24.219,11.600999999999999,0.040999999999999995,59.317,70.817,6.5729999999999995,8.032,0.066,16.256
1996-12-31,,16.644000000000002,25.916,-3.3369999999999997,7.994,7.994,20.452,23.073,78.419,0.0,-10.167,-6.309,12.357999999999999,22.525,12.049000000000001,0.057999999999999996,44.486999999999995,26.123,9.497,10.13,0.066,14.705
1997-12-31,,17.07,27.737,-9.439,1.18,1.18,11.317,11.459000000000001,75.33800000000001,0.0,-9.852,-5.779,9.345,19.197,6.102,0.078,24.825,22.141,11.855,12.373,0.067,14.91
1998-12-31,,17.506,29.47,-5.022,21.329,21.329,12.213,12.368,66.443,0.0,-8.195,-3.826,10.132,18.327,9.023,0.09300000000000001,19.208,15.752,14.132,14.322000000000001,0.068,13.998
1999-12-31,,17.953,31.324,-7.478,12.794,12.794,9.757,10.645,86.689,0.0,-8.541,-5.136,8.264,16.805999999999997,-2.804,0.10800000000000001,12.470999999999998,13.790999999999999,15.895,16.297,0.069,4.1419999999999995
2000-12-31,,18.412,33.378,-6.56,-0.214,-0.214,-7.562,-9.399,123.346,0.0,-6.6770000000000005,-1.608,13.423,20.1,14.449000000000002,0.12,25.113000000000003,40.54,19.886,22.904,0.069,21.309
2001-12-31,,18.883,35.674,-5.033,-5.255,-5.255,9.111,10.591,101.50399999999999,98.199,-5.178999999999999,-0.8420000000000001,17.898,23.076999999999998,17.918,0.149,32.931999999999995,21.288,26.435,27.78,0.07,22.851
2002-12-31,,19.366,37.907,-0.8009999999999999,-1.953,-1.953,0.156,-0.40299999999999997,86.66,84.588,-4.378,-1.4340000000000002,12.732999999999999,17.111,16.78,0.198,14.845999999999998,15.171,30.36,31.994,0.071,17.082
2003-12-31,,19.861,40.639,0.129,-1.6280000000000001,-1.6280000000000001,13.181,8.917,82.81299999999999,81.796,-3.3489999999999998,0.871,17.017,20.366,20.225,0.239,26.625999999999998,23.563000000000002,38.443000000000005,39.533,0.07200000000000001,20.096
2004-12-31,,20.368,43.976000000000006,-4.704,9.474,9.474,22.419,21.141,57.333,53.946999999999996,-3.025,-0.373,17.517,20.543000000000003,18.096,0.298,12.665999999999999,11.777000000000001,43.312,44.18899999999999,0.07200000000000001,22.8
2005-12-31,,20.889,48.125,-7.001,1.38,1.38,17.039,15.022,48.034,43.645,-2.84,-0.596,16.687,19.527,16.833,0.32799999999999996,15.095,14.838,49.85,50.745,0.073,23.834
2006-12-31,,21.423000000000002,52.64,-8.222999999999999,10.103,10.103,27.088,26.611,26.191999999999997,21.898000000000003,-4.708,-2.605,17.064,21.771,13.413,0.355,11.683,10.923,55.674,56.288000000000004,0.073,21.636
2007-12-31,,21.97,57.533,-8.716000000000001,6.358,6.358,24.885,21.715,31.006,23.221999999999998,-5.3870000000000005,-3.487,17.5,22.886999999999997,14.210999999999999,0.402,10.729000000000001,12.748,61.647,63.464,0.07400000000000001,20.108
2008-12-31,,22.531999999999996,63.604,-11.92,8.582,8.582,26.772,25.401999999999997,33.395,29.901,-8.443,-6.192,15.949000000000002,24.392,11.039000000000001,0.474,16.505,18.133,71.822,74.973,0.078,21.451999999999998
2009-12-31,,23.108,66.648,-5.379,-0.252,-0.252,-16.096,-21.631,36.227,32.695,-7.011,-4.19,16.44,23.45,18.436,0.5489999999999999,13.139000000000001,9.459,81.259,82.064,0.081,20.671
2010-12-31,,23.699,72.862,-8.607999999999999,13.663,13.663,32.825,38.064,46.468,43.24100000000001,-9.37,-6.244,16.71,26.08,19.575,0.632,6.6979999999999995,6.867999999999999,86.70200000000001,87.70100000000001,0.083,25.701999999999998
2011-12-31,,24.304000000000002,85.52600000000001,-8.961,39.111999999999995,39.111999999999995,47.666000000000004,49.655,42.552,38.702,-5.228,-2.5340000000000003,19.127,24.354,25.364,0.6990000000000001,7.676,8.372,93.35700000000001,95.042,0.092,29.628
2012-12-31,,24.926,94.713,-11.772,5.818,5.818,10.886,10.252,49.82,47.73,-12.123,-8.575,18.59,30.713,33.479,0.7909999999999999,7.072,8.124,99.959,102.764,0.09699999999999999,32.944
2013-12-31,,25.563000000000002,102.98200000000001,-11.925999999999998,9.577,9.577,2.468,-0.564,55.648,53.246,-9.993,-5.287999999999999,16.723,26.715999999999998,25.331,0.9079999999999999,11.665999999999999,13.495,111.62100000000001,116.632,0.10099999999999999,24.160999999999998
2014-12-31,,26.215999999999998,109.39200000000001,-9.932,0.69,0.69,-12.777999999999999,-12.036,65.322,63.263000000000005,-7.813,-1.08,18.461,26.273000000000003,14.652999999999999,1.071,15.725999999999999,18.5,129.174,138.209,0.102,24.584
2015-12-31,,26.886,116.64,-8.469,4.699,4.699,-0.325,-0.8690000000000001,71.055,69.28,-6.518,0.09300000000000001,19.203,25.721999999999998,17.46,1.228,16.8,15.1,150.876,159.079,0.10300000000000001,25.929000000000002
2016-12-31,,27.573,127.37299999999999,-7.192,14.229000000000001,14.229000000000001,10.251,10.269,70.807,69.244,-7.393,-0.151,18.76,26.151999999999997,19.479,1.3659999999999999,14.5,13.9,172.753,181.19099999999997,0.106,26.671
2017-12-31,,28.278000000000002,138.24,-6.629,10.152000000000001,10.152000000000001,8.751,9.033999999999999,68.32,65.447,-5.941,1.609,21.656,27.596999999999998,20.901999999999997,1.4969999999999999,13.35,12.8,195.815,204.38299999999998,0.109,27.531
2018-12-31,,29.000999999999998,149.306,-6.2139999999999995,7.59,7.59,9.193999999999999,9.581,66.315,62.193999999999996,-5.86,2.0269999999999997,21.66,27.52,21.051,1.621,12.25,11.7,219.80200000000002,228.296,0.11,27.265
2019-12-31,,29.741999999999997,157.107,-7.074,-3.418,-3.418,3.1719999999999997,4.037,66.887,61.641999999999996,-2.526,5.795,21.945999999999998,24.471,20.953000000000003,1.723,11.15,10.6,244.31,252.495,0.11,28.026999999999997
