Date,ODA/KEN_LE_Value,ODA/KEN_LP_Value,ODA/KEN_PPPGDP_Value,ODA/KEN_BCA_NGDPD_Value,ODA/KEN_TX_RPCH_Value,ODA/KEN_TXG_RPCH_Value,ODA/KEN_TM_RPCH_Value,ODA/KEN_TMG_RPCH_Value,ODA/KEN_GGXWDG_NGDP_Value,ODA/KEN_GGXWDN_NGDP_Value,ODA/KEN_GGXCNL_NGDP_Value,ODA/KEN_GGXONLB_NGDP_Value,ODA/KEN_GGR_NGDP_Value,ODA/KEN_GGX_NGDP_Value,ODA/KEN_NGSD_NGDP_Value,ODA/KEN_PPPEX_Value,ODA/KEN_PCPIPCH_Value,ODA/KEN_PCPIEPCH_Value,ODA/KEN_PCPI_Value,ODA/KEN_PCPIE_Value,ODA/KEN_PPPSH_Value,ODA/KEN_NID_NGDP_Value
1990-12-31,,23.078000000000003,37.352,-3.468,7.917000000000001,7.917000000000001,4.75,4.75,,,-3.7230000000000003,-0.027000000000000003,17.052,20.775,13.304,8.452,11.2,41.381,22.837,24.893,0.141,21.943
1991-12-31,,23.79,39.111999999999995,-1.131,6.505,6.505,-8.039,-8.039,,,-7.76,-3.84,12.113,19.873,13.106,9.169,19.104,14.472999999999999,27.2,28.495,0.14,19.462
1992-12-31,,24.48,39.571999999999996,-0.828,-4.988,-4.988,-0.7190000000000001,-0.7190000000000001,,,-9.844,-4.1160000000000005,11.437000000000001,21.281,9.56,10.439,27.331999999999997,33.669000000000004,34.635,38.089,0.124,14.136
1993-12-31,,25.143,40.475,1.8530000000000002,11.675,11.675,-12.255,-12.255,,,-10.187000000000001,-2.694,12.690999999999999,22.878,12.620999999999999,12.783,45.979,54.7,50.559,58.924,0.122,15.588
1994-12-31,,25.776999999999997,42.383,-0.142,19.112000000000002,19.112000000000002,25.674,25.674,,,-4.752,1.516,17.973,22.726,12.157,14.125,28.814,6.612,65.128,62.82,0.121,14.144
1995-12-31,,26.378,45.121,-3.763,16.601,16.601,32.069,32.069,,,0.02,4.763,20.971,20.951,10.335999999999999,15.432,1.554,6.89,66.14,67.149,0.122,14.107999999999999
1996-12-31,,26.984,47.788000000000004,-1.439,10.854000000000001,10.854000000000001,2.1630000000000003,2.1630000000000003,,,-0.33,4.087,20.392,20.721,11.69,16.32,8.862,10.664000000000001,72.001,74.309,0.122,12.116
1997-12-31,,27.594,48.713,-2.989,-10.009,-10.009,1.122,1.122,,,-0.7829999999999999,2.262,20.367,21.15,10.207,17.925,11.924000000000001,11.992,80.587,83.22,0.11699999999999999,12.894
1998-12-31,,28.173000000000002,50.881,-3.52,-2.046,-2.046,-3.198,-3.198,53.25,49.846000000000004,0.5529999999999999,3.617,20.943,20.39,11.199000000000002,18.955,6.716,0.667,85.999,83.77600000000001,0.11800000000000001,12.321
1999-12-31,,28.818,52.903999999999996,-1.604,-5.215,-5.215,-7.187,-7.187,52.332,49.403999999999996,1.328,4.619,19.596,18.268,11.913,19.433,5.752999999999999,10.503,90.946,92.575,0.11699999999999999,10.63
2000-12-31,,29.494,54.431999999999995,-1.3840000000000001,-4.925,-4.925,6.7589999999999995,6.7589999999999995,51.266000000000005,48.916000000000004,-0.311,2.123,18.279,18.59,14.011,20.156,9.955,11.78,100.0,103.48,0.11199999999999999,15.659
2001-12-31,,30.309,58.067,-2.1630000000000003,18.631,17.817999999999998,11.44,9.052999999999999,55.184,51.536,-1.495,0.643,18.092,19.588,14.794,20.035999999999998,5.824,2.923,105.824,106.505,0.114,16.944000000000003
2002-12-31,,31.147,59.258,-0.7809999999999999,11.039000000000001,15.793,-3.821,-1.0959999999999999,60.623000000000005,57.291000000000004,-2.576,-0.266,18.139,20.715,15.953,20.015,2.156,3.464,108.10600000000001,110.194,0.111,16.734
2003-12-31,,32.009,62.391000000000005,0.772,4.0280000000000005,4.89,1.2930000000000001,1.5190000000000001,58.917,55.133,-1.605,0.324,19.073,20.678,15.489,20.864,5.983,4.67,114.574,115.34,0.11,14.636
2004-12-31,,32.894,66.817,-0.711,8.782,1.9380000000000002,7.51,6.428,52.442,48.847,-0.045,1.4180000000000001,19.617,19.662,14.255,21.956999999999997,8.381,11.792,124.176,128.941,0.109,14.966
2005-12-31,,33.803000000000004,72.753,-1.169,15.700999999999999,20.355,14.732999999999999,17.891,47.04,43.028,-1.49,0.191,19.502,20.991999999999997,16.757,22.414,7.8229999999999995,4.912,133.89,135.275,0.11,17.926
2006-12-31,,34.738,79.202,-1.9680000000000002,-0.071,-10.058,10.11,12.415,43.79,39.738,-2.14,-0.474,19.248,21.388,16.132,23.609,6.041,7.316,141.97799999999998,145.171,0.11,18.1
