Date,ODA/MWI_LE_Value,ODA/MWI_LP_Value,ODA/MWI_PPPGDP_Value,ODA/MWI_BCA_NGDPD_Value,ODA/MWI_TX_RPCH_Value,ODA/MWI_TXG_RPCH_Value,ODA/MWI_TM_RPCH_Value,ODA/MWI_TMG_RPCH_Value,ODA/MWI_GGXWDG_NGDP_Value,ODA/MWI_GGXWDN_NGDP_Value,ODA/MWI_GGXCNL_NGDP_Value,ODA/MWI_GGXONLB_NGDP_Value,ODA/MWI_GGR_NGDP_Value,ODA/MWI_GGX_NGDP_Value,ODA/MWI_NGSD_NGDP_Value,ODA/MWI_PPPEX_Value,ODA/MWI_PCPIPCH_Value,ODA/MWI_PCPIEPCH_Value,ODA/MWI_PCPI_Value,ODA/MWI_PCPIE_Value,ODA/MWI_PPPSH_Value,ODA/MWI_NID_NGDP_Value
1990-12-31,,10.039,3.278,-3.6719999999999997,24.929000000000002,26.211,2.952,3.272,,,,,,,16.883,1.44,11.857000000000001,23.2,6.766,5.742000000000001,0.012,20.555
1991-12-31,,10.275,3.6830000000000003,-6.965,5.343999999999999,5.888,-0.441,9.312999999999999,,,,,,,13.270999999999999,1.6769999999999998,8.227,7.388,7.322,6.166,0.013000000000000001,20.236
1992-12-31,,10.4,3.491,-12.491,-2.903,-0.846,14.966,14.463,,,,,,,7.444,1.858,23.236,36.09,9.024,8.392000000000001,0.011000000000000001,19.935
1993-12-31,,10.460999999999999,3.92,-8.826,-5.105,-4.753,-7.781000000000001,-15.272,,,,,,,6.346,2.326,22.775,18.309,11.079,9.927999999999999,0.012,15.171
1994-12-31,,10.533,3.591,-23.945999999999998,10.287,9.529,10.966,25.656999999999996,,,,,,,4.7139999999999995,2.9189999999999996,34.659,65.965,14.919,16.477999999999998,0.01,28.66
1995-12-31,,10.665999999999999,4.173,-10.24,-0.307,1.735,-11.184000000000001,-13.165,,,,,,,7.152,5.119,83.148,74.95,27.324,28.828000000000003,0.011000000000000001,17.392
1996-12-31,,10.876,4.673,-7.593,16.899,15.613,9.706,35.251,,,,,,,4.734,7.473,37.733000000000004,6.7,37.634,30.759,0.012,12.327
1997-12-31,,11.148,5.066,-11.352,4.35,4.518,22.947,23.47,,,,,,,0.247,8.645,9.137,15.16,41.073,35.422,0.012,11.599
1998-12-31,,11.458,5.175,-0.431,24.399,23.87,-19.295,-20.721,,,,,,,13.034,10.511,29.779,53.146,53.303999999999995,54.248000000000005,0.012,13.465
1999-12-31,,11.774000000000001,5.44,-8.307,-16.567999999999998,-20.644000000000002,14.33,15.347000000000001,,,,,,,6.343,14.392000000000001,44.75899999999999,28.230999999999998,77.16199999999999,69.562,0.012,14.65
2000-12-31,,12.07,5.607,-5.251,-6.752999999999999,-6.574,-21.679000000000002,-21.308000000000003,,,,,,,8.314,18.515,29.596999999999998,35.445,100.0,94.21799999999999,0.012,13.565
2001-12-31,,12.343,5.497000000000001,-6.792000000000001,10.927999999999999,9.552999999999999,13.67,12.399000000000001,,,,,,,7.007000000000001,22.544,22.7,22.121,122.7,115.06,0.011000000000000001,13.799000000000001
2002-12-31,,12.812999999999999,5.676,-8.588,130.691,93.197,28.565,21.2,144.954,,-9.581,-5.617999999999999,17.512,27.093000000000004,7.5489999999999995,36.007,14.751,28.28,140.8,147.6,0.011000000000000001,16.137
2003-12-31,,13.097999999999999,6.11,-11.728,35.287,51.555,20.864,26.511,161.92600000000002,,-5.898,1.405,24.497,30.395,5.375,38.667,9.588,9.824,154.3,162.1,0.011000000000000001,17.102999999999998
2004-12-31,,13.385,6.624,-11.174000000000001,4.123,1.659,11.17,13.857999999999999,139.637,,-6.122999999999999,1.52,27.785999999999998,33.908,7.04,43.156000000000006,11.470999999999998,13.695,172.0,184.3,0.011000000000000001,18.215
2005-12-31,,13.654000000000002,7.013,-11.946,2.609,8.345,16.116,6.121,141.175,136.968,-2.516,3.4930000000000003,32.096,34.611999999999995,10.739,46.521,15.407,16.561,198.5,214.822,0.011000000000000001,22.685
2006-12-31,,14.043,7.377000000000001,-11.177999999999999,10.945,10.945,7.446000000000001,7.446000000000001,36.4,33.944,0.731,5.7829999999999995,37.007,36.275999999999996,14.42,57.463,13.904000000000002,10.138,226.1,236.6,0.01,25.673000000000002
2007-12-31,,14.439,8.293,0.9790000000000001,42.902,42.902,-9.743,-9.743,35.376999999999995,29.831999999999997,-3.5389999999999997,-0.816,35.207,38.746,27.449,61.566,7.961,7.523,244.1,254.4,0.011000000000000001,26.47
2008-12-31,,14.845999999999998,9.16,-9.7,6.486000000000001,6.486000000000001,35.582,35.582,44.56100000000001,38.407,-4.545,-2.057,34.556999999999995,39.101,15.97,65.608,8.71,9.945,265.362,279.7,0.011000000000000001,25.67
2009-12-31,,15.274000000000001,10.064,-4.849,-27.826,-27.826,-19.422,-19.422,43.428999999999995,39.578,-4.413,-1.5219999999999998,33.286,37.699,20.725,70.566,8.427,7.58,287.725,300.9,0.012,25.574
2010-12-31,,15.714,10.852,-1.296,42.547,42.547,47.152,47.152,37.41,32.388000000000005,2.596,5.393,40.149,37.553000000000004,30.404,74.861,7.41,6.27,309.045,319.768,0.012,25.987
2011-12-31,,16.166,11.558,-5.874,-10.037,-10.037,-13.715,-13.715,41.791000000000004,36.2,-5.23,-2.026,29.8,35.031,9.411,76.259,7.624,9.798,332.606,351.1,0.012,15.285
2012-12-31,,16.632,11.987,-4.5280000000000005,1.788,1.788,-11.136,-11.136,53.428999999999995,49.722,-2.639,-0.42100000000000004,38.579,41.218999999999994,12.501,88.165,21.272,34.577,403.35699999999997,472.5,0.012,16.914
2013-12-31,,17.111,12.799000000000001,-2.807,22.264,22.264,2.5860000000000003,2.5860000000000003,72.86,64.861,-5.49,0.485,41.00899999999999,46.498999999999995,13.482999999999999,110.574,28.315,23.5,517.567,583.538,0.013000000000000001,16.265
2014-12-31,,17.604,13.755,-5.986000000000001,3.752,3.752,3.835,3.835,57.912,53.748000000000005,-5.041,1.454,36.330999999999996,41.372,13.912,130.017,19.574,14.744000000000002,618.874,669.575,0.013000000000000001,19.868
2015-12-31,,18.111,14.845,-5.194,6.87,6.87,10.754000000000001,10.754000000000001,48.576,45.49,-3.283,0.561,39.534,42.817,15.048,140.27,11.469000000000001,9.603,689.85,733.878,0.013000000000000001,20.213
2016-12-31,,18.632,15.957,-3.827,10.886,10.886,9.349,9.349,42.17,39.501,-1.005,1.767,39.3,40.305,15.982999999999999,148.425,8.262,6.257999999999999,746.8480000000001,779.807,0.013000000000000001,19.784000000000002
2017-12-31,,19.169,17.137,-3.722,7.877000000000001,7.877000000000001,5.42,5.42,37.747,35.376999999999995,-1.153,0.7909999999999999,38.363,39.516,16.473,154.088,5.897,5.159,790.89,820.04,0.013000000000000001,20.143
2018-12-31,,19.721,18.382,-4.09,6.084,6.084,5.212999999999999,5.212999999999999,33.685,31.55,-0.598,0.927,36.221,36.819,14.982000000000001,158.768,5.285,4.973,832.687,860.819,0.013999999999999999,19.037
2019-12-31,,20.289,19.701,-4.4719999999999995,3.1439999999999997,3.1439999999999997,5.159,5.159,30.674,28.741,-1.275,0.025,35.918,37.193000000000005,13.538,163.401,5.087,4.952,875.048,903.447,0.013999999999999999,17.955
