Date,ODA/NAM_LE_Value,ODA/NAM_LP_Value,ODA/NAM_PPPGDP_Value,ODA/NAM_BCA_NGDPD_Value,ODA/NAM_TX_RPCH_Value,ODA/NAM_TXG_RPCH_Value,ODA/NAM_TM_RPCH_Value,ODA/NAM_TMG_RPCH_Value,ODA/NAM_GGXWDG_NGDP_Value,ODA/NAM_GGXWDN_NGDP_Value,ODA/NAM_GGXCNL_NGDP_Value,ODA/NAM_GGXONLB_NGDP_Value,ODA/NAM_GGR_NGDP_Value,ODA/NAM_GGX_NGDP_Value,ODA/NAM_NGSD_NGDP_Value,ODA/NAM_PPPEX_Value,ODA/NAM_PCPIPCH_Value,ODA/NAM_PCPIEPCH_Value,ODA/NAM_PCPI_Value,ODA/NAM_PCPIE_Value,ODA/NAM_PPPSH_Value,ODA/NAM_NID_NGDP_Value
1990-12-31,,1.345,5.27,0.971,,,,,,,0.768,1.475,27.628,26.86,28.818,1.393,,,16.99,17.664,0.02,27.874000000000002
1991-12-31,,1.403,5.737,3.682,28.8,28.8,3.5,3.5,,,-1.751,-1.473,30.381999999999998,32.133,20.026,1.374,11.904000000000002,18.099,19.012,20.861,0.02,16.37
1992-12-31,,1.455,6.4110000000000005,1.651,6.3660000000000005,6.3660000000000005,5.4110000000000005,5.4110000000000005,,,-2.935,-2.6919999999999997,32.066,35.001,22.221,1.34,17.73,10.815999999999999,22.383000000000003,23.116999999999997,0.02,20.583000000000002
1993-12-31,,1.504,6.457000000000001,3.8110000000000004,10.657,10.657,-1.008,-1.008,17.367,17.367,-3.0260000000000002,-2.445,30.529,33.555,19.424,1.463,8.533,9.74,24.293000000000003,25.369,0.019,16.21
1994-12-31,,1.5490000000000002,6.933,2.623,-3.386,-3.386,3.737,3.737,17.028,17.028,-0.804,0.08800000000000001,29.641,30.445,23.358,1.666,10.759,11.263,26.906999999999996,28.226,0.02,21.708000000000002
1995-12-31,,1.594,7.306,5.022,9.529,9.529,9.17,9.17,18.977999999999998,18.977999999999998,-2.083,-1.043,29.861,31.945,26.656999999999996,1.739,10.01,7.912000000000001,29.6,30.459,0.02,21.691
1996-12-31,,1.643,7.611000000000001,3.313,2.8,2.8,15.7,15.7,20.15,20.15,-4.27,-2.819,29.201,33.472,26.624000000000002,1.972,8.007,8.447000000000001,31.97,33.032,0.019,23.116
1997-12-31,,1.696,8.105,2.485,-2.7239999999999998,-2.7239999999999998,3.457,3.457,19.018,19.018,-2.823,-0.9390000000000001,31.101999999999997,33.925,21.835,2.0669999999999997,8.825,6.872000000000001,34.791,35.302,0.019,20.184
1998-12-31,,1.75,8.52,4.765,-0.7,-0.7,7.602,7.602,21.072,21.072,-3.248,-0.889,31.151,34.398,28.144000000000002,2.205,6.206,8.663,36.951,38.36,0.02,25.76
1999-12-31,,1.805,8.882,-0.816,4.431,4.431,1.3980000000000001,1.3980000000000001,22.36,22.36,-2.181,0.022000000000000002,31.19,33.371,25.093000000000004,2.329,8.577,7.888,40.12,41.386,0.02,23.289
2000-12-31,,1.828,9.455,4.897,-0.868,-0.868,-5.207000000000001,-5.207000000000001,19.937,19.937,-0.963,0.8079999999999999,28.464000000000002,29.427,21.994,2.8689999999999998,9.267999999999999,10.786,43.838,45.85,0.019,17.098
2001-12-31,,1.83,9.783,0.297,-4.475,-4.475,3.958,3.958,22.215999999999998,22.215999999999998,-2.155,-0.49700000000000005,27.619,29.774,22.614,3.1210000000000004,10.212,9.044,48.315,49.997,0.019,22.316999999999997
2002-12-31,,1.86,10.41,2.548,-2.331,-2.331,20.679000000000002,20.679000000000002,21.784000000000002,21.784000000000002,-1.5759999999999998,0.385,28.112,29.688000000000002,21.069000000000003,3.404,12.716,14.254000000000001,54.458999999999996,57.123000000000005,0.02,18.521
