Date,ODA/NGA_LE_Value,ODA/NGA_LP_Value,ODA/NGA_PPPGDP_Value,ODA/NGA_BCA_NGDPD_Value,ODA/NGA_TX_RPCH_Value,ODA/NGA_TXG_RPCH_Value,ODA/NGA_TM_RPCH_Value,ODA/NGA_TMG_RPCH_Value,ODA/NGA_GGXWDG_NGDP_Value,ODA/NGA_GGXWDN_NGDP_Value,ODA/NGA_GGXCNL_NGDP_Value,ODA/NGA_GGXONLB_NGDP_Value,ODA/NGA_GGR_NGDP_Value,ODA/NGA_GGX_NGDP_Value,ODA/NGA_NGSD_NGDP_Value,ODA/NGA_PPPEX_Value,ODA/NGA_PCPIPCH_Value,ODA/NGA_PCPIEPCH_Value,ODA/NGA_PCPI_Value,ODA/NGA_PCPIE_Value,ODA/NGA_PPPSH_Value,ODA/NGA_NID_NGDP_Value,ODA/NGA_LUR_Value
1990-12-31,,90.557,116.008,15.845999999999998,14.0,11.819,14.3,11.5,,,,,,,30.197,2.427,7.895,2.6319999999999997,2.6439999999999997,2.647,0.43700000000000006,15.957,
1991-12-31,,93.161,122.016,4.143,3.2439999999999998,2.4,19.541,13.185,,,,,,,21.549,2.762,12.195,23.076999999999998,2.966,3.2569999999999997,0.435,18.012999999999998,
1992-12-31,,95.725,128.375,8.47,2.26,1.6230000000000002,4.12,5.891,,,,,,,18.410999999999998,4.539,44.565,48.958,4.288,4.852,0.40299999999999997,11.679,
1993-12-31,,98.36,137.428,-4.6,-5.737,-5.545,-1.0959999999999999,-0.725,,,,,,,13.459000000000001,5.5920000000000005,57.143,61.538000000000004,6.7379999999999995,7.837999999999999,0.413,15.698,
1994-12-31,,101.068,145.062,-10.690999999999999,7.6129999999999995,0.349,-13.501,-24.994,,,,,,,14.342,7.172999999999999,57.416000000000004,76.623,10.607000000000001,13.844000000000001,0.414,18.817,
1995-12-31,,103.85,151.209,-6.192,9.289,7.781000000000001,10.495,13.440999999999999,,,,,,,13.225,14.972999999999999,72.729,51.442,18.322,20.965,0.40700000000000003,15.718,
1996-12-31,,106.709,165.574,6.601,11.633,13.732999999999999,7.875,10.917,,,,,,,14.895999999999999,19.516,29.291999999999998,14.314,23.689,23.965999999999998,0.42200000000000004,12.520999999999999,
1997-12-31,,109.647,177.32299999999998,1.318,4.461,8.46,19.484,22.526,,,,,,,16.838,19.382,10.673,10.213,26.217,26.414,0.426,16.486,
1998-12-31,,112.665,188.576,-10.699000000000002,0.395,-7.202000000000001,-3.8310000000000004,-15.342,,,,,,,20.046,18.088,7.862,11.913,28.278000000000002,29.561,0.43799999999999994,22.769000000000002,
1999-12-31,,115.766,197.03099999999998,1.137,-5.916,-4.654,18.365,26.77,,,,,,,18.118,20.853,6.617999999999999,0.22399999999999998,30.149,29.627,0.435,16.980999999999998,
2000-12-31,,118.95299999999999,217.373,12.602,15.767000000000001,18.84,-19.351,-21.37,66.289,66.289,4.678,9.349,33.152,28.474,31.504,27.572,6.938,14.527000000000001,32.241,33.931,0.44799999999999995,18.902,13.1
2001-12-31,,122.228,246.30599999999998,4.314,-3.69,-4.453,18.444000000000003,22.729,67.60300000000001,67.096,-4.102,1.01,35.185,39.288000000000004,25.193,25.938000000000002,18.869,16.495,38.324,39.528,0.484,20.879,13.6
2002-12-31,,125.59299999999999,310.39099999999996,1.375,-9.838,-10.626,36.309,47.913000000000004,51.607,51.875,1.601,3.844,24.719,23.118000000000002,18.512999999999998,30.608,12.883,12.169,43.262,44.338,0.584,17.137999999999998,12.6
2003-12-31,,129.05,357.764,3.6710000000000003,30.64,32.21,11.171,12.334000000000001,46.781000000000006,46.425,-2.447,2.126,23.416999999999998,25.864,18.845,33.359,14.033,23.811,49.333,54.895,0.633,15.173,14.8
2004-12-31,,132.602,416.36300000000006,13.710999999999999,3.009,3.1519999999999997,-17.514,-22.991,37.661,34.06,5.824,7.287999999999999,25.287,19.463,27.149,39.201,15.001,10.008,56.733000000000004,60.388999999999996,0.6809999999999999,13.437999999999999,13.4
2005-12-31,,136.253,463.908,22.725,-5.345,-5.1339999999999995,-2.476,-4.698,19.975,12.61,9.061,11.032,25.346999999999998,16.285999999999998,36.295,45.486999999999995,17.855999999999998,11.565,66.86399999999999,67.373,0.7020000000000001,13.57,11.9
