Date,ODA/SWZ_LE_Value,ODA/SWZ_LP_Value,ODA/SWZ_PPPGDP_Value,ODA/SWZ_BCA_NGDPD_Value,ODA/SWZ_TX_RPCH_Value,ODA/SWZ_TXG_RPCH_Value,ODA/SWZ_TM_RPCH_Value,ODA/SWZ_TMG_RPCH_Value,ODA/SWZ_GGXWDG_NGDP_Value,ODA/SWZ_GGXWDN_NGDP_Value,ODA/SWZ_GGXCNL_NGDP_Value,ODA/SWZ_GGXONLB_NGDP_Value,ODA/SWZ_GGR_NGDP_Value,ODA/SWZ_GGX_NGDP_Value,ODA/SWZ_NGSD_NGDP_Value,ODA/SWZ_PPPEX_Value,ODA/SWZ_PCPIPCH_Value,ODA/SWZ_PCPIEPCH_Value,ODA/SWZ_PCPI_Value,ODA/SWZ_PCPIE_Value,ODA/SWZ_PPPSH_Value,ODA/SWZ_NID_NGDP_Value
1990-12-31,,0.884,2.9989999999999997,4.522,2.035,1.252,14.333,2.8760000000000003,,,5.7620000000000005,6.437,24.174,18.412,19.532,0.968,13.092,10.985,42.549,42.684,0.011000000000000001,15.394
1991-12-31,,0.9079999999999999,3.153,4.053999999999999,7.831,11.729000000000001,8.381,9.953,,,3.9819999999999998,4.552,24.285999999999998,20.303,19.602,1.0190000000000001,8.934,9.556000000000001,46.351000000000006,46.763000000000005,0.011000000000000001,15.936
1992-12-31,,0.93,3.325,-3.082,7.055,7.029,17.162,18.839000000000002,,,-1.571,-1.004,22.987,24.558000000000003,16.493,1.109,7.558,8.567,49.854,50.769,0.01,20.085
1993-12-31,,0.951,3.508,-4.6610000000000005,12.171,14.005,11.697000000000001,6.791,17.410999999999998,17.410999999999998,-3.195,-2.738,21.098000000000003,24.293000000000003,13.275,1.273,12.023,13.199000000000002,55.848,57.47,0.011000000000000001,18.391
1994-12-31,,0.973,3.668,0.129,14.254000000000001,13.54,-3.176,3.388,15.125,15.125,-3.597,-3.173,21.28,24.877,17.367,1.383,13.769,13.815,63.538000000000004,65.41,0.01,17.675
1995-12-31,,0.997,3.929,-1.7380000000000002,2.77,-0.054000000000000006,11.17,15.18,14.222999999999999,14.222999999999999,-0.078,0.361,21.906,21.984,14.179,1.579,12.289000000000001,10.134,71.346,72.038,0.011000000000000001,16.319000000000003
1996-12-31,,1.023,4.138,-3.22,-8.271,-3.638,2.87,0.8240000000000001,14.993,14.993,-0.593,-0.095,23.053,23.645,13.741,1.676,6.425,5.763,75.93,76.19,0.011000000000000001,17.387999999999998
1997-12-31,,1.052,4.3469999999999995,-0.159,18.519000000000002,20.994,8.522,8.391,12.565999999999999,12.565999999999999,1.4769999999999999,1.965,24.248,22.771,16.944000000000003,1.8319999999999999,7.945,7.756,81.962,82.09899999999999,0.01,17.535
1998-12-31,,1.056,4.515,-5.935,11.482999999999999,11.470999999999998,9.628,7.919,18.282,18.282,1.4040000000000001,1.926,25.209,23.805,13.220999999999998,1.926,7.51,4.904,88.118,86.125,0.01,19.660999999999998
1999-12-31,,1.06,4.709,-2.275,3.2569999999999997,7.0,-8.008,-2.252,19.093,19.093,-0.77,-0.09300000000000001,26.526,27.296,14.432,2.005,5.862,9.097999999999999,93.28399999999999,93.961,0.01,17.147000000000002
