Date,ODA/ZAF_LE_Value,ODA/ZAF_LP_Value,ODA/ZAF_PPPGDP_Value,ODA/ZAF_BCA_NGDPD_Value,ODA/ZAF_TX_RPCH_Value,ODA/ZAF_TXG_RPCH_Value,ODA/ZAF_TM_RPCH_Value,ODA/ZAF_TMG_RPCH_Value,ODA/ZAF_GGXWDG_NGDP_Value,ODA/ZAF_GGXWDN_NGDP_Value,ODA/ZAF_GGXCNL_NGDP_Value,ODA/ZAF_GGXONLB_NGDP_Value,ODA/ZAF_GGR_NGDP_Value,ODA/ZAF_GGSB_NPGDP_Value,ODA/ZAF_GGX_NGDP_Value,ODA/ZAF_NGSD_NGDP_Value,ODA/ZAF_PPPEX_Value,ODA/ZAF_PCPIPCH_Value,ODA/ZAF_PCPIEPCH_Value,ODA/ZAF_PCPI_Value,ODA/ZAF_PCPIE_Value,ODA/ZAF_PPPSH_Value,ODA/ZAF_NID_NGDP_Value,ODA/ZAF_LUR_Value
1990-12-31,,36.156,226.02599999999998,1.379,-0.434,-0.72,-5.837000000000001,-4.265,,,,,,,,18.930999999999997,1.2819999999999998,14.286,14.937000000000001,42.4,45.4,0.852,13.345,18.784000000000002
1991-12-31,,36.961999999999996,231.171,1.178,-1.545,0.304,2.1430000000000002,0.381,,,,,,,,18.297,1.436,15.565999999999999,16.3,49.0,52.8,0.825,13.774000000000001,20.162
1992-12-31,,37.783,231.388,1.504,5.4910000000000005,6.454,5.347,5.539,,,,,,,,16.444000000000003,1.609,13.673,9.47,55.7,57.8,0.726,12.29,21.213
1993-12-31,,38.604,239.815,2.13,10.379000000000001,11.040999999999999,7.017,6.695,,,,,,,,16.144000000000002,1.777,9.874,9.689,61.2,63.4,0.72,12.925,22.163
1994-12-31,,39.402,252.84,0.012,2.485,1.192,16.093,18.917,,,,,,,,16.825,1.9069999999999998,8.824,9.779,66.6,69.6,0.721,15.395,22.89
1995-12-31,,40.24,266.155,-1.65,10.937999999999999,10.52,16.791,19.676,,,,,,,,16.505,2.059,8.709,6.897,72.4,74.4,0.7170000000000001,17.935,16.71
1996-12-31,,41.035,282.684,-1.151,7.204,5.372000000000001,8.71,11.852,,,,,,,,15.993,2.186,7.32,9.274,77.7,81.3,0.72,16.561,19.320999999999998
1997-12-31,,41.784,295.134,-1.492,5.295,5.151,5.385,6.732,,,,,,,,15.181,2.323,8.623,6.273,84.4,86.4,0.7090000000000001,16.1,20.951999999999998
1998-12-31,,42.481,299.88,-1.764,3.2460000000000004,1.98,2.0140000000000002,1.222,,,,,,,,15.237,2.476,6.872000000000001,8.912,90.2,94.1,0.696,16.317999999999998,25.197
1999-12-31,,43.117,311.65,-0.511,1.261,1.385,-8.362,-9.288,,,,,,,,15.706,2.611,5.211,2.444,94.9,96.4,0.688,15.353,23.346
2000-12-31,,43.68600000000001,331.983,-0.129,8.314,8.947000000000001,5.337999999999999,7.733,43.317,42.588,-1.579,3.392,24.284000000000002,-1.439,25.863000000000003,15.568,2.778,5.374,6.95,100.0,103.1,0.6829999999999999,15.697000000000001,23.0
2001-12-31,,44.951,348.837,0.281,2.3930000000000002,0.815,0.25,0.155,43.488,43.099,-1.161,3.455,24.695999999999998,-0.8270000000000001,25.855999999999998,15.327,2.924,5.7,4.559,105.7,107.8,0.6859999999999999,15.045,25.95
2002-12-31,,45.586000000000006,367.184,0.8270000000000001,0.9890000000000001,-0.809,5.3420000000000005,5.6129999999999995,36.949,36.477,-1.113,2.937,24.695999999999998,-0.826,25.81,16.699,3.1889999999999996,9.177,12.43,115.4,121.2,0.691,15.872,27.8
2003-12-31,,46.184,385.54900000000004,-0.99,0.109,-1.761,8.085,4.649,36.909,36.209,-1.86,1.777,24.631,-1.3459999999999999,26.491,15.662,3.301,5.806,0.33,122.1,121.6,0.6829999999999999,16.652,27.65
2004-12-31,,47.019,414.195,-3.035,2.833,4.158,15.508,17.895,35.884,35.047,-1.219,2.2030000000000003,25.294,-0.946,26.513,15.04,3.417,1.392,3.4539999999999997,123.8,125.8,0.6779999999999999,18.075,25.15
2005-12-31,,47.64,450.08099999999996,-3.469,8.568,8.802,10.879000000000001,11.776,33.201,29.932,-0.348,2.864,26.543000000000003,-0.256,26.891,14.489,3.491,3.3930000000000002,3.577,128.0,130.3,0.6809999999999999,17.958,24.65
2006-12-31,,48.27,489.907,-5.307,7.462999999999999,6.987,18.261,19.887999999999998,30.968000000000004,26.949,0.732,3.67,28.893,1.587,28.162,14.382,3.608,4.688,5.756,134.0,137.8,0.682,19.689,23.55
2007-12-31,,48.91,530.846,-6.971,6.5520000000000005,5.961,8.986,9.427999999999999,28.331,23.906999999999996,1.2990000000000002,3.917,29.732,1.0490000000000002,28.433000000000003,14.269,3.798,7.09,8.999,143.5,150.2,0.682,21.24,23.0
2008-12-31,,49.56100000000001,560.864,-7.1739999999999995,1.754,2.594,1.5130000000000001,2.9360000000000004,27.232,22.824,-0.478,2.0580000000000003,29.624000000000002,-0.8170000000000001,30.101999999999997,15.532,4.023,11.536,10.066,160.055,165.31900000000002,0.687,22.705,22.525
2009-12-31,,50.223,556.498,-4.031000000000001,-19.532,-21.551,-17.391,-20.464000000000002,31.579,26.419,-4.92,-2.532,28.1,-3.197,33.021,15.499,4.327,7.13,6.289,171.467,175.715,0.679,19.53,23.7
2010-12-31,,50.896,580.985,-1.9680000000000002,8.998,6.138,10.97,8.85,35.313,29.305,-4.926,-2.28,27.462,-3.645,32.388000000000005,17.089000000000002,4.602,4.257,3.48,178.767,181.831,0.665,19.057000000000002,24.875
2011-12-31,,51.58,614.321,-2.322,6.775,6.775,9.988,9.988,38.82,32.304,-4.003,-1.271,27.871,-3.758,31.874000000000002,16.771,4.774,5.0,6.053999999999999,187.706,192.838,0.662,19.093,24.8
2012-12-31,,52.275,640.7769999999999,-5.242000000000001,0.386,0.386,5.995,5.995,42.091,36.114000000000004,-4.2669999999999995,-1.383,28.296,-4.171,32.564,14.162,4.899,5.654,5.707999999999999,198.31799999999998,203.84599999999998,0.6579999999999999,19.404,24.875
2013-12-31,,52.982,662.62,-5.824,4.221,4.221,4.732,4.732,45.192,39.16,-4.407,-1.3319999999999999,28.773000000000003,-4.277,33.18,13.539000000000001,5.109,5.752000000000001,5.4,209.72400000000002,214.854,0.65,19.363,24.725
2014-12-31,,53.699,683.1469999999999,-5.736000000000001,2.6,2.6,1.8,1.8,47.946000000000005,42.776,-4.907,-1.555,28.796,-4.552,33.703,13.620999999999999,5.3420000000000005,6.303,6.33,222.94299999999998,228.454,0.638,19.357,25.221
2015-12-31,,54.425,711.768,-5.64,3.491,3.491,2.3,2.3,50.77,46.452,-5.143,-1.556,28.758000000000003,-4.78,33.900999999999996,13.884,5.5489999999999995,5.8,5.8,235.873,241.704,0.629,19.524,25.002
2016-12-31,,55.161,745.4789999999999,-5.396,4.192,4.192,3.2,3.2,53.722,50.135,-5.023,-1.192,28.802,-4.788,33.825,14.427999999999999,5.751,5.5,5.5,248.84599999999998,254.998,0.622,19.825,24.781999999999996
2017-12-31,,55.907,781.316,-5.153,4.013999999999999,4.013999999999999,3.2,3.2,55.843999999999994,52.867,-5.025,-0.9179999999999999,28.829,-4.852,33.854,14.782,5.94,5.3,5.3,262.035,268.513,0.614,19.935,24.56
2018-12-31,,56.663000000000004,819.3439999999999,-4.815,4.27,4.27,3.2,3.2,57.531000000000006,55.08,-5.006,-0.6970000000000001,28.818,-4.876,33.824,15.206,6.131,5.3,5.3,275.923,282.744,0.606,20.021,24.523000000000003
2019-12-31,,57.428999999999995,858.877,-4.628,4.032,4.032,3.2,3.2,59.047,57.059,-4.94,-0.48200000000000004,28.822,-4.854,33.762,15.51,6.331,5.3,5.3,290.547,297.73,0.599,20.137999999999998,24.374000000000002
