Date,ODA/ZWE_LE_Value,ODA/ZWE_LP_Value,ODA/ZWE_PPPGDP_Value,ODA/ZWE_BCA_NGDPD_Value,ODA/ZWE_TXG_RPCH_Value,ODA/ZWE_TMG_RPCH_Value,ODA/ZWE_GGXWDG_NGDP_Value,ODA/ZWE_GGXCNL_NGDP_Value,ODA/ZWE_GGXONLB_NGDP_Value,ODA/ZWE_GGR_NGDP_Value,ODA/ZWE_GGX_NGDP_Value,ODA/ZWE_NGSD_NGDP_Value,ODA/ZWE_PPPEX_Value,ODA/ZWE_PCPIPCH_Value,ODA/ZWE_PCPIEPCH_Value,ODA/ZWE_PCPI_Value,ODA/ZWE_PCPIE_Value,ODA/ZWE_PPPSH_Value,ODA/ZWE_NID_NGDP_Value
1990-12-31,,9.786,,,,,,,,,,,,,,,,,
1991-12-31,,10.093,,,,,,,,,,,,,,,,,
1992-12-31,,10.41,,,,,,,,,,,,,,,,,
1993-12-31,,10.776,,,,,,,,,,,,,,,,,
1994-12-31,,11.147,,,,,,,,,,,,,,,,,
1995-12-31,,11.523,,,,,,,,,,,,,,,,,
1996-12-31,,11.904000000000002,,,,,,,,,,,,,,,,,
1997-12-31,,11.786,,,,,,,,,,,,,,,,,
1998-12-31,,11.755999999999998,,,,,,,,,,,,,,,,,
1999-12-31,,11.724,,,,,,,,,,,,,,,,,
2000-12-31,,11.693,24.795,-0.2,,,,,,,,,0.396,,,100.0,,0.051,
2001-12-31,,11.663,25.203000000000003,-0.823,5.577999999999999,-1.383,,,,,,,0.384,-37.198,,62.802,,0.05,
2002-12-31,,11.632,23.614,-2.608,-17.914,-2.343,,,,,,,0.391,-34.445,,41.17,,0.044000000000000004,
2003-12-31,,11.64,20.105999999999998,-4.606,-19.602999999999998,-18.362000000000002,,,,,,,0.405,-8.565,,37.644,,0.036000000000000004,
2004-12-31,,11.73,19.325,-6.085,-8.466000000000001,-6.481,,,,,,,0.418,113.569,,80.396,,0.032,
2005-12-31,,11.83,18.414,-8.133,-9.283,-9.061,38.830999999999996,-6.437,-3.4819999999999998,12.225999999999999,18.663,,0.418,-31.522,,55.053000000000004,,0.027999999999999997,
2006-12-31,,12.01,18.301,-6.505,-2.8739999999999997,-4.343,45.08,-2.49,0.042,7.307,9.797,,0.389,32.974000000000004,,73.207,,0.025,
2007-12-31,,12.04,18.159000000000002,-5.434,-7.602,-12.091,50.534,-2.989,-1.2209999999999999,2.93,5.919,,0.379,-72.729,,19.964000000000002,,0.023,
2008-12-31,,12.12,15.474,-16.671,-20.701,13.895999999999999,69.428,-2.051,0.28800000000000003,2.254,4.305,,0.381,156.964,,51.3,59.153,0.019,
2009-12-31,,12.23,16.869,-44.628,-8.966000000000001,129.019,68.294,-2.072,0.353,11.952,14.024000000000001,-29.523000000000003,0.484,6.216,-7.67,54.489,54.61600000000001,0.021,15.104000000000001
2010-12-31,,12.34,19.017,-17.955,59.325,-22.246,63.192,0.711,1.912,23.283,22.573,5.9670000000000005,0.49700000000000005,3.045,3.217,56.148,56.373000000000005,0.022000000000000002,23.921
2011-12-31,,12.652999999999999,21.72,-29.833000000000002,18.398,26.739,51.761,-1.272,-0.242,26.660999999999998,27.932,-7.44,0.504,3.47,4.92,58.097,59.146,0.023,22.393
2012-12-31,,12.974,24.445999999999998,-24.438000000000002,-11.565999999999999,-5.401,56.73,-0.581,0.35200000000000004,28.028000000000002,28.609,-10.273,0.51,3.72,2.9139999999999997,60.258,60.87,0.025,14.165
2013-12-31,,13.117,25.633000000000003,-27.357,-1.0859999999999999,7.709,55.161,-1.943,-1.033,28.328000000000003,30.271,-12.977,0.515,1.632,0.331,61.24100000000001,61.071999999999996,0.025,14.38
2014-12-31,,13.261,26.877,-28.074,10.148,5.307,58.547,-1.7009999999999998,-0.619,29.215999999999998,30.916999999999998,-14.370999999999999,0.511,0.29100000000000004,1.2,61.419,61.805,0.025,13.703
2015-12-31,,13.407,28.246,-26.229,8.335,6.337999999999999,58.504,0.631,1.8330000000000002,29.101999999999997,28.471,-13.366,0.509,1.242,1.72,62.181999999999995,62.868,0.025,12.863
2016-12-31,,13.554,29.908,-22.439,8.309,2.1519999999999997,55.611999999999995,1.091,2.298,29.226999999999997,28.136,-9.29,0.512,1.7519999999999998,2.0,63.271,64.125,0.025,13.149000000000001
2017-12-31,,13.703,31.834,-19.614,10.514000000000001,5.42,54.915,0.773,1.9409999999999998,29.455,28.680999999999997,-5.478,0.514,2.401,2.5,64.791,65.72800000000001,0.025,14.135
2018-12-31,,13.854000000000001,33.946999999999996,-17.115,13.065,7.9,53.542,1.103,2.218,29.439,28.336,-3.179,0.521,2.5,2.5,66.411,67.37100000000001,0.025,13.936
2019-12-31,,14.005999999999998,36.157,-16.452,9.107999999999999,6.99,52.233999999999995,1.245,2.326,29.605999999999998,28.361,-2.6630000000000003,0.523,2.5,2.5,68.071,69.056,0.025,13.789000000000001
